"legislator_name","party","chamber","district_number","leg_n_votes_partisan","leg_mean_partisanship","sd_partisan_vote","se_partisan_vote","lower_bound","upper_bound","leg_label"
"Michelle Salzman","R","House",1,1154,0.00259965337954939,0.0416485625308276,0.00122601875046951,0.00137363462907988,0.0038256721300189,"Michelle Salzman (R-1)"
"Mike Beltran","R","House",70,1141,0.0219106047326906,0.114950635179193,0.00340305174792213,0.0185075529847685,0.0253136564806128,"Mike Beltran (R-70)"
"Mike Caruso","R","House",87,1056,0.00473484848484848,0.0615162926275435,0.00189303304476132,0.00284181544008717,0.0066278815296098,"Mike Caruso (R-87)"
"Mike Giallombardo","R","House",79,1340,0.00149253731343284,0.0273383275906904,0.00074682619781527,0.000745711115617566,0.00223936351124811,"Mike Giallombardo (R-79)"
"Mike Redondo","R","House",118,564,0,0,0,0,0,"Mike Redondo (R-118)"
"Nick DiCeglie","R","Senate",18,1746,0.00143184421534937,0.0239525252382652,0.000573230363810326,0.000858613851539044,0.0020050745791597,"Nick DiCeglie (R-18)"
"Patricia Hawkins-Williams","D","House",98,1088,0.0202205882352941,0.0811091874215235,0.00245898343343353,0.0177616048018606,0.0226795716687277,"Patricia Hawkins-Williams (D-98)"
"Patt Maney","R","House",4,1524,0.00820209973753281,0.0629105047015798,0.00161150139515697,0.00659059834237584,0.00981360113268977,"Patt Maney (R-4)"
"Paul Renner","R","House",19,885,0,0,0,0,0,"Paul Renner (R-19)"
"Paula Stark","R","House",47,1323,0.0124716553287982,0.109386680547538,0.00300735378380383,0.00946430154499435,0.015479009112602,"Paula Stark (R-47)"
"Peggy Gossett-Seidman","R","House",91,1035,0.0072463768115942,0.0820396524116861,0.00255007901134204,0.00469629780025216,0.00979645582293625,"Peggy Gossett-Seidman (R-91)"
"Philip Griffitts","R","House",6,1341,0.00111856823266219,0.0273179182354077,0.000745990354019171,0.000372577878643021,0.00186455858668136,"Philip Griffitts (R-6)"
"Rachel Plakon","R","House",36,1249,0.0044035228182546,0.0401124465812831,0.00113500541250611,0.00326851740574849,0.00553852823076071,"Rachel Plakon (R-36)"
"Ralph Massullo","R","House",23,1150,0.00130434782608696,0.0295012206382564,0.000869943535972349,0.000434404290114608,0.00217429136205931,"Ralph Massullo (R-23)"
"Randy Fine","R","House",33,1000,0.011,0.0776528556430547,0.00245559890648312,0.00854440109351688,0.0134555989064831,"Randy Fine (R-33)"
"Randy Maggard","R","House",54,1299,0.00577367205542725,0.048186855527494,0.00133697723176801,0.00443669482365925,0.00711064928719526,"Randy Maggard (R-54)"
"Rick Roth","R","House",94,1281,0.00624512099921936,0.0684112639855768,0.00191140646135325,0.00433371453786611,0.00815652746057261,"Rick Roth (R-94)"
"Robert Brackett","R","House",34,1269,0.00118203309692671,0.0280827978150865,0.000788332737629925,0.000393700359296789,0.00197036583455664,"Robert Brackett (R-34)"
"Robin Bartleman","D","House",103,1352,0.0162721893491124,0.118012657375972,0.00320952116524593,0.0130626681838665,0.0194817105143584,"Robin Bartleman (D-103)"
"Rosalind Osgood","D","Senate",32,1838,0.0127856365614799,0.09329783092109,0.00217619993723027,0.0106094366242496,0.0149618364987101,"Rosalind Osgood (D-32)"
"Ryan Chamberlin","R","House",24,673,0.00148588410104012,0,0,0.00148588410104012,0.00148588410104012,"Ryan Chamberlin (R-24)"
"Sam Garrison","R","House",11,1028,0.000972762645914397,0.0311891430775903,0.000972762645914397,0.00000000000000000010842021724855,0.00194552529182879,"Sam Garrison (R-11)"
"Sam Killebrew","R","House",48,1071,0.0135387488328665,0.105549826127396,0.00322524556575244,0.010313503267114,0.0167639943986189,"Sam Killebrew (R-48)"
"Shane Abbott","R","House",5,1236,0.00202265372168285,0,0,0.00202265372168285,0.00202265372168285,"Shane Abbott (R-5)"
"Shevrin Jones","D","Senate",34,1407,0.00746268656716418,0.053509445517864,0.0014265381876675,0.00603614837949668,0.00888922475483168,"Shevrin Jones (D-34)"
"Spencer Roach","R","House",76,1232,0.00446428571428571,0.0569800616994117,0.00162337016949267,0.00284091554479304,0.00608765588377839,"Spencer Roach (R-76)"
"Stan McClain","R","House",27,1195,0.000836820083682008,0.0289278427070186,0.000836820083682008,0,0.00167364016736402,"Stan McClain (R-27)"
"Susan Plasencia","R","House",37,1066,0.00938086303939963,0.068679665496262,0.00210353415930444,0.00727732888009518,0.0114843971987041,"Susan Plasencia (R-37)"
"Susan Valdes","D","House",64,1187,0.0181128896377422,0.071887707837187,0.00208655230884847,0.0160263373288937,0.0201994419465907,"Susan Valdes (D-64)"
"Taylor Yarkosky","R","House",25,1296,0.000385802469135802,0,0,0.000385802469135802,0.000385802469135802,"Taylor Yarkosky (R-25)"
"Thad Altman","R","House",32,1215,0.0037037037037037,0.0573301313796102,0.00164473069680825,0.00205897300689546,0.00534843440051195,"Thad Altman (R-32)"
"Thomas Fabricio","R","House",110,1268,0.00236593059936909,0.0397307185178313,0.00111574973518437,0.00125018086418472,0.00348168033455345,"Thomas Fabricio (R-110)"
"Tiffany Esposito","R","House",77,1181,0.000423370025402202,0,0,0.000423370025402202,0.000423370025402202,"Tiffany Esposito (R-77)"
"Tina Polsky","D","Senate",30,1309,0.0110771581359817,0.0733790175558322,0.00202815932940156,0.0090489988065801,0.0131053174653832,"Tina Polsky (D-30)"
"Toby Overdorf","R","House",85,1362,0.00403817914831131,0.046984021972753,0.00127309741744862,0.00276508173086269,0.00531127656575993,"Toby Overdorf (R-85)"
"Tom Keen","D","House",35,517,0.0154738878143133,0.115903273513529,0.00509742014073813,0.0103764676735752,0.0205713079550515,"Tom Keen (D-35)"
